year,fips,date,cases
2020,2020,12,634509
2020,2050,4,24
2020,2050,5,52
2020,2050,6,177
2020,2050,7,521
2020,2050,8,1161
2020,2050,9,2694
2020,2050,10,7863
2020,2050,11,28812
2020,2050,12,60985
2020,2068,6,6
2020,2068,7,63
2020,2068,8,124
2020,2068,9,185
2020,2068,10,639
2020,2068,11,1127
2020,2068,12,1684
2020,2070,5,1
2020,2070,6,146
2020,2070,7,649
2020,2070,8,765
2020,2070,9,827
2020,2070,10,1234
2020,2070,11,2422
2020,2070,12,3394
2020,2090,3,211
2020,2090,4,2147
2020,2090,5,2615
2020,2090,6,3250
2020,2090,7,9212
2020,2090,8,16721
2020,2090,9,28337
2020,2090,10,53850
2020,2090,11,86016
2020,2090,12,133261
2020,2100,6,61
2020,2100,7,208
2020,2100,8,286
2020,2100,9,285
2020,2100,10,347
2020,2100,11,462
2020,2100,12,575
2020,2110,3,35
2020,2110,4,603
2020,2110,5,909
2020,2110,6,1186
2020,2110,7,2462
2020,2110,8,6459
2020,2110,9,9708
2020,2110,10,13751
2020,2110,11,21618
2020,2110,12,29403
2020,2122,3,60
2020,2122,4,446
2020,2122,5,798
2020,2122,6,3303
2020,2122,7,8125
2020,2122,8,15982
2020,2122,9,18056
2020,2122,10,23719
2020,2122,11,53404
2020,2122,12,101204
2020,2130,3,118
2020,2130,4,449
2020,2130,5,496
2020,2130,6,655
2020,2130,7,1124
2020,2130,8,1702
2020,2130,9,1989
2020,2130,10,2330
2020,2130,11,4657
2020,2130,12,6803
2020,2150,4,15
2020,2150,5,31
2020,2150,6,124
2020,2150,7,369
2020,2150,8,1377
2020,2150,9,1902
2020,2150,10,2762
2020,2150,11,5518
2020,2150,12,21430
2020,2158,7,75
2020,2158,8,220
2020,2158,9,311
2020,2158,10,2274
2020,2158,11,10572
2020,2158,12,18812
2020,2170,3,20
2020,2170,4,403
2020,2170,5,689
2020,2170,6,1504
2020,2170,7,5425
2020,2170,8,12288
2020,2170,9,16811
2020,2170,10,27743
2020,2170,11,69856
2020,2170,12,169212
2020,2180,4,16
2020,2180,5,50
2020,2180,6,159
2020,2180,7,508
2020,2180,8,892
2020,2180,9,1719
2020,2180,10,3447
2020,2180,11,5209
2020,2180,12,7998
2020,2185,5,4
2020,2185,6,65
2020,2185,7,222
2020,2185,8,882
2020,2185,9,2476
2020,2185,10,6214
2020,2185,11,11014
2020,2185,12,20930
2020,2188,5,21
2020,2188,6,102
2020,2188,7,305
2020,2188,8,1517
2020,2188,9,2550
2020,2188,10,6107
2020,2188,11,9363
2020,2188,12,11938
2020,2195,4,40
2020,2195,5,93
2020,2195,6,98
2020,2195,7,250
2020,2195,8,312
2020,2195,9,321
2020,2195,10,398
2020,2195,11,587
2020,2195,12,770
2020,2198,4,37
2020,2198,5,62
2020,2198,6,72
2020,2198,7,110
2020,2198,8,463
2020,2198,9,876
2020,2198,10,1003
2020,2198,11,1251
2020,2198,12,1951
2020,2220,4,5
2020,2220,5,37
2020,2220,6,281
2020,2220,7,697
2020,2220,8,1301
2020,2220,9,1660
2020,2220,10,2200
2020,2220,11,3892
2020,2220,12,7497
2020,2230,10,83
2020,2230,11,235
2020,2230,12,420
2020,2240,4,28
2020,2240,5,75
2020,2240,6,170
2020,2240,7,658
2020,2240,8,924
2020,2240,9,1056
2020,2240,10,1777
2020,2240,11,5132
2020,2240,12,11268
2020,2261,5,34
2020,2261,6,407
2020,2261,7,1567
2020,2261,8,3347
2020,2261,9,3700
2020,2261,10,4508
2020,2261,11,6501
2020,2261,12,9317
2020,2275,6,89
2020,2275,7,248
2020,2275,8,441
2020,2275,9,552
2020,2275,10,589
2020,2275,11,572
2020,2275,12,690
2020,2290,4,29
2020,2290,5,31
2020,2290,6,45
2020,2290,7,650
2020,2290,8,1837
2020,2290,9,2338
2020,2290,10,3074
2020,2290,11,4273
2020,2290,12,6031
2020,2997,5,12
2020,2997,6,330
2020,2997,7,1832
2020,2997,8,2324
2020,2997,9,2581
2020,2997,10,3088
2020,2997,11,3912
2020,2997,12,4753
2020,2998,7,32
2020,2998,8,358
2020,2998,9,796
2020,2998,10,1024
2020,2998,11,1243
2020,2998,12,1556
2020,4001,3,100
2020,4001,4,4790
2020,4001,5,29052
2020,4001,6,58966
2020,4001,7,82964
2020,4001,8,100075
2020,4001,9,102807
2020,4001,10,116509
2020,4001,11,136779
2020,4001,12,202900
2020,4003,3,23
2020,4003,4,610
2020,4003,5,1535
2020,4003,6,8607
2020,4003,7,34825
2020,4003,8,53377
2020,4003,9,56096
2020,4003,10,63186
2020,4003,11,85179
2020,4003,12,174811
2020,4005,3,445
2020,4005,4,8525
2020,4005,5,25775
2020,4005,6,43358
2020,4005,7,78599
2020,4005,8,98057
2020,4005,9,109667
2020,4005,10,145427
2020,4005,11,192304
2020,4005,12,292470
2020,4007,3,4
2020,4007,4,184
2020,4007,5,649
2020,4007,6,3567
2020,4007,7,16100
2020,4007,8,30634
2020,4007,9,36067
2020,4007,10,51779
2020,4007,11,72649
2020,4007,12,117228
2020,4009,3,30
2020,4009,4,113
2020,4009,5,655
2020,4009,6,1693
2020,4009,7,8068
2020,4009,8,18676
2020,4009,9,23505
2020,4009,10,31532
2020,4009,11,51012
2020,4009,12,83755
2020,4011,3,2
2020,4011,4,50
2020,4011,5,81
2020,4011,6,372
2020,4011,7,1106
2020,4011,8,1773
2020,4011,9,1751
2020,4011,10,2368
2020,4011,11,4418
2020,4011,12,10307
2020,4012,3,12
2020,4012,4,150
2020,4012,5,1105
2020,4012,6,6828
2020,4012,7,12921
2020,4012,8,15108
2020,4012,9,15832
2020,4012,10,18115
2020,4012,11,21241
2020,4012,12,35106
2020,4013,1,6
2020,4013,2,29
2020,4013,3,4017
2020,4013,4,68745
2020,4013,5,214115
2020,4013,6,723691
2020,4013,7,2705670
2020,4013,8,3979145
2020,4013,9,4148676
2020,4013,10,4626339
2020,4013,11,5395879
2020,4013,12,8277933
2020,4015,3,31
2020,4015,4,1477
2020,4015,5,7539
2020,4015,6,19921
2020,4015,7,65119
2020,4015,8,103610
2020,4015,9,115074
