,PCIncome,fip-year,fips,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT,RUCC_2013,WA,BA,IA,AA,NA,TOM,NH,H
5222,24901.0,39031-2021,39031,36618,0.9928163265306122,18243,18375,41.2,2266,4444,12625,9478,7283,6.0,35265,448,126,155,21,603,36143,475
5223,25744.0,39033-2019,39033,41396,0.9584614656763022,20259,21137,43.5,2363,4479,14098,11205,8742,4.0,39974,483,113,260,48,518,40659,737
5224,26286.0,39033-2020,39033,41928,0.9735467168745588,20683,21245,43.3,2357,4589,14304,11305,8814,4.0,40478,471,130,259,54,536,41161,767
5225,27866.0,39033-2021,39033,41754,0.9699929228591648,20559,21195,43.3,2293,4597,14286,11128,8911,4.0,40241,514,124,257,55,563,40960,794
5226,33114.0,39035-2019,39035,1235574,0.9117595179962308,589272,646302,40.3,69893,125865,471655,323847,229851,1.0,782990,377720,3167,42006,582,29109,1157535,78039
5227,34398.0,39035-2020,39035,1261696,0.9241823685956336,605991,655705,40.2,70156,130627,483978,328073,233727,1.0,798831,385090,3338,43195,599,30643,1179671,82025
5228,36321.0,39035-2021,39035,1249387,0.9234950888320964,599847,649540,40.3,67911,128570,481357,318842,237540,1.0,789437,381513,3292,43447,593,31105,1166445,82942
5229,27855.0,39037-2019,39037,51181,0.9866087024026704,25418,25763,41.9,3169,6069,17329,13672,10235,6.0,49761,354,123,246,25,672,50342,839
5230,28639.0,39037-2020,39037,51882,1.0016203703703703,25962,25920,41.7,3250,6255,17655,13777,10207,6.0,50386,374,127,258,30,707,50977,905
5231,29914.0,39037-2021,39037,51597,1.0015128593040847,25818,25779,41.7,3146,6170,17695,13500,10308,6.0,50089,380,123,259,36,710,50650,947
5232,29816.0,39039-2019,39039,37978,0.9864009623934308,18859,19119,40.5,2158,4335,13952,9804,7242,4.0,36187,809,167,186,15,614,33993,3985
5233,31051.0,39039-2020,39039,38227,1.005193033990768,19163,19064,40.6,2134,4428,14060,9788,7292,4.0,36385,839,170,189,20,624,34126,4101
5234,32035.0,39039-2021,39039,38144,1.0037823072073966,19108,19036,40.6,2116,4410,14087,9563,7429,4.0,36251,876,174,200,22,621,34021,4123
5235,48117.0,39041-2019,39041,209768,0.9891707363330332,104313,105455,39.4,12423,28245,78958,56926,29773,1.0,180173,8320,440,16434,120,4281,203921,5847
5236,48312.0,39041-2020,39041,215062,1.0017125997077412,107623,107439,39.6,12416,28793,80728,58840,30753,1.0,183350,8890,480,17652,136,4554,208822,6240
5237,52397.0,39041-2021,39041,220740,1.0006162993039442,110404,110336,39.8,12485,29090,83632,59821,32199,1.0,186905,9622,501,18690,148,4874,214166,6574
5238,32790.0,39043-2019,39043,74179,0.9549084200816972,36234,37945,45.1,3929,7416,24805,20503,16635,4.0,64138,6696,251,579,49,2466,70770,3409
5239,34352.0,39043-2020,39043,75429,0.9614874528669872,36974,38455,44.8,3932,7631,25398,20666,16875,4.0,65150,6849,254,595,51,2530,71849,3580
5240,35100.0,39043-2021,39043,74852,0.9648257034859304,36756,38096,44.8,3856,7472,25314,20110,17175,4.0,64600,6723,253,595,49,2632,71268,3584
5241,32021.0,39045-2019,39045,157703,0.9874103665990348,78352,79351,39.5,9348,19166,59158,42324,25477,1.0,136694,13852,408,3077,97,3575,153921,3782
5242,33283.0,39045-2020,39045,159357,0.9965795903025748,79542,79815,39.4,9315,19735,59852,42577,25499,1.0,136841,14801,412,3458,100,3745,155289,4068
5243,35481.0,39045-2021,39045,161064,1.0014414593533316,80590,80474,39.5,9341,19896,60706,42797,25948,1.0,137129,15705,439,3872,109,3810,156822,4242
5244,26079.0,39047-2019,39047,28486,0.9617106259899456,13965,14521,40.8,1689,3434,10139,7665,5152,6.0,26798,655,85,301,9,638,27841,645
5245,25993.0,39047-2020,39047,28939,0.971187248825012,14258,14681,40.6,1696,3504,10347,7769,5202,6.0,27150,712,89,327,14,647,28263,676
5246,27586.0,39047-2021,39047,28906,0.9680010893246188,14218,14688,40.7,1666,3481,10370,7684,5272,6.0,27041,738,94,335,14,684,28202,704
5247,33998.0,39049-2019,39049,1318766,0.9542717082683768,643954,674812,34.3,91917,152054,593456,303088,162429,1.0,876462,315509,4211,77159,844,44581,1241883,76883
5248,34790.0,39049-2020,39049,1324013,0.9645771229911136,650070,673943,34.5,89920,155373,594936,304073,163203,1.0,876262,318649,4297,78068,766,45971,1244531,79482
5249,37532.0,39049-2021,39049,1321414,0.964025451502581,648605,672809,34.7,87572,154579,594304,300390,167632,1.0,868949,322118,4273,78343,737,46994,1239683,81731
